category_ar,category_en,name_ar,name_en,description_ar,description_en,price,image_url,available
الأراكيل الألمانية,German Hookahs,انكليزي,English Mix,مزيج إنجليزي مميز,Premium English mix,15000,,TRUE
الأراكيل الألمانية,German Hookahs,علج ونعناع,Alej & Mint,علج مع نعناع طازج,Alej with fresh mint,15000,,TRUE
الأراكيل الألمانية,German Hookahs,Kratos,Kratos,مزيج كراتوس الخاص,Special Kratos blend,15000,,TRUE
الأراكيل الطبيعية,Natural Hookahs,اناناس,Pineapple,أرجيلة بالأناناس الطبيعي,Natural pineapple hookah,20000,,TRUE
الأراكيل الطبيعية,Natural Hookahs,طبيعي VIP,VIP Natural,تجربة VIP طبيعية فاخرة,Premium VIP natural experience,35000,,TRUE
المشاوي,Grills,كباب عراقي,Iraqi Kebab,كباب عراقي تقليدي,Traditional Iraqi kebab,25000,,TRUE
البيتزا,Pizza,بيتزا مارجوريتا,Margherita Pizza,بيتزا مارجوريتا كلاسيكية,Classic margherita pizza,11000,,TRUE
البرجر,Burgers,كلاسيك برجر,Classic Burger,برجر كلاسيكي طازج,Fresh classic burger,11000,,TRUE
العصائر,Juices,برتقال,Orange Juice,عصير برتقال طازج,Fresh orange juice,8500,,TRUE
الشاي,Tea,شاي عراقي,Iraqi Tea,شاي عراقي تقليدي,Traditional Iraqi tea,1000,,TRUE
الحلويات,Desserts,كريب نوتيلا,Nutella Crepe,كريب بالنوتيلا,Crepe with Nutella,8500,,TRUE
